Context, Total Mem, Current Mem, Peak Mem, Total Count, Current Count, Peak Count, Global Mem Count, Global Peak Count
FSStorageAPI,74968,0,520,225,0,3,368,2
Bikeshed,10830148,0,10830148,26,0,26,10749228,25
GetFilesRecursively,753620,0,320078,1783,0,73,163880,1
Strdup,23000,0,138,229,0,4,52,1
Blake2,48,0,48,1,0,1,48,1
Blake 3,48,0,48,1,0,1,48,1
MeowHashAPI,48,0,48,1,0,1,48,1
DefaultHashRegistry,76,0,76,1,0,1,76,1
ConcatPath,244559,0,7659,2061,0,71,67,22
ReadVersionIndexFromBuffer,9916798,0,9916798,1,0,1,9916798,1
LZ4CompressionAPI,32,0,32,1,0,1,32,1
Brotli,32,0,32,1,0,1,32,1
ZStdCompressionAPI,32,0,32,1,0,1,32,1
CompressionRegistry,208,0,208,1,0,1,208,1
HPCDCCreateChunker,423818672,0,5507592,1617,0,22,48,13
Longtail_Alloc,192,0,48,8,0,2,24,1
RateLimitedProgress,80,0,40,2,0,1,40,1
CreateVersionIndex,28774398,0,28774398,3,0,3,28774398,1
ChunkAssets,227912,0,227912,1,0,1,0,1
CreateBlockStoreProxyAPI,64,0,64,1,0,1,64,1
FSBlockStoreAPI,320,0,320,2,0,2,320,2
CacheBlockStore,368,0,368,4,0,4,256,2
CompressBlockStore,408,0,408,2,0,2,408,2
LRUBlockStoreAPI,2336,0,2336,2,0,2,2336,2
ShareBlockStoreAPI,264,0,264,2,0,2,264,2
DynamicChunking,7752597,0,7001868,1777,0,1618,0,1608
ReadStoreIndexFromBuffer,378154584,0,378154584,1,0,1,378154584,1
AllocChunkAssetsData,8131488,0,8131488,1,0,1,8131488,0
CreateVersionDiff,116752,0,116752,2,0,2,0,0
GetRequiredChunkHashes,8230352,0,8230352,1,0,1,0,0
AsyncGetExistingContentAPIProxy,24,0,24,1,0,1,0,0
ReadStoreIndex,7194664,0,7194664,1,0,1,0,0
Longtail_CopyStoreIndex,7194664,0,7194664,1,0,1,0,0
Longtail_GetExistingStoreIndex,46228,0,46228,1,0,1,0,0
CreateStoreIndexFromBlocks,96,0,96,1,0,1,0,0
GetMissingChunks,52,0,52,1,0,1,0,0
Global,891490132,0,435895147,7765,0,1697,891490132,1697
